,dtype,nunique,na_ratio
saldo_tactivo_6var,float64,0,1.0
saldo_tactivo,float64,0,1.0
siniincicap_d_6max,float64,0,1.0
siniincicap_d_12max,float64,0,1.0
raz_apalanc_6m,float64,0,1.0
razon_circulante_6m,float64,0,1.0
raz_patnet_pas_12m,float64,0,1.0
siniincicap_d_12m,float64,0,1.0
siniincicap_d_6med,float64,0,1.0
siniincicap_d_12med,float64,0,1.0
saldo_tactivo_12var,float64,0,1.0
saldo_tactivo_12m,float64,0,1.0
saldo_tactivo_6m,float64,0,1.0
saldo_tpasivo_12m,float64,0,1.0
saldo_tpasivo_12var,float64,0,1.0
saldo_tpasivo_6m,float64,0,1.0
saldo_tpasivo,float64,0,1.0
saldo_tpasivo_6var,float64,0,1.0
fecha_in_msub_cli,datetime64[ns],0,1.0
raz_patnet_pasivo,float64,0,1.0
siniincicap_d_6m,float64,0,1.0
raz_patnet_pasivo_6m,float64,0,1.0
razon_circulante,float64,0,1.0
raz_apalancamiento,float64,0,1.0
raz_apalanc_12m,float64,0,1.0
otros_saldos,float64,0,1.0
razon_circulante_12m,float64,0,1.0
fecha_fin_msub_cli,datetime64[ns],5,0.9985733850719014
fecha_fin_inc_e,datetime64[ns],256,0.9706687970782927
saliniincicap_e,float64,340,0.9703834740926729
limmxcont_e,float64,31,0.9703834740926729
saliniinciint_e,float64,1,0.9703834740926729
salmedincicap_e,float64,341,0.9703834740926729
salmedinciint_e,float64,1,0.9703834740926729
fecha_in_inci_e,datetime64[ns],231,0.9703834740926729
salmxincicap_e,float64,341,0.9703834740926729
salmxinciint_e,float64,1,0.9703834740926729
rat_inven_spas_12m,float64,404,0.9686144715818307
rat_inven_spas_6m,float64,464,0.9627938826751883
indimorasubclie,float64,1,0.9556608080346953
indimorasubcont,float64,1,0.9556608080346953
fecha_in_msub_con,datetime64[ns],89,0.9556608080346953
fecha_fin_msub_con,datetime64[ns],47,0.9533782241497375
rat_inven_spas,float64,605,0.9524651905957544
rat_inven_sact_12m,float64,739,0.9437343072357909
siniincicap_v_12m,float64,630,0.9435631134444191
rat_inven_sact_6m,float64,899,0.9307806436886555
siniincicap_v_6m,float64,746,0.9306094498972838
fecha_fin_inc_v,datetime64[ns],448,0.9112645514722666
limmedcont_e,float64,511,0.9091531613786806
salmedincicap_v,float64,1040,0.9091531613786806
limmxcont_v,float64,511,0.9091531613786806
saliniinciint_v,float64,783,0.9091531613786806
salmxinciint_v,float64,828,0.9091531613786806
limmedcont_v,float64,511,0.9091531613786806
rat_inven_sact,float64,1219,0.9091531613786806
limmincont_e,float64,511,0.9091531613786806
fecha_in_inci_v,datetime64[ns],347,0.9091531613786806
salmxincicap_v,float64,1016,0.9091531613786806
siniincicap_v,float64,971,0.9091531613786806
limmincont_v,float64,511,0.9091531613786806
salmedinciint_v,float64,828,0.9091531613786806
ead_cont_nov_refina,float64,208,0.8890664231910522
fecha_aper_con_res,datetime64[ns],166,0.8890664231910522
impcontnovarefi,float64,162,0.8890664231910522
impor_novado_refina,float64,207,0.8890664231910522
fecha_fin_carencia,datetime64[ns],170,0.8890664231910522
fecha_in_carencia,datetime64[ns],166,0.8890664231910522
flag_vencido,float64,2,0.8871832914859621
flag_exceso,float64,2,0.8871832914859621
flag_refinanciados,float64,1,0.8868409039032185
