variable,n_bins,iv_total
activo_circ,2,0.0190084455628374
activo_no_circ,2,0.0018394976777457
activo_total,2,0.0042795942317296
activos_fijos,2,0.0035017983868274
antig_activo_12m,2,0.1093960736065458
antig_pasivo_12m,2,0.0534468744051752
antiguedad_activo,2,0.0767477393687244
antiguedad_activo_6m,2,0.1159574771088853
antiguedad_empresa,2,0.0648970910761073
antiguedad_pasivo,2,0.0487932560665528
antiguedad_pasivo_6m,2,0.0501540031819746
captrab_ventas,2,0.0117240201829742
captrab_ventas_12m,2,0.0654889362782252
captrab_ventas_6m,2,0.0499827485544952
clasi_act_empre,3,0.0370973559731138
clasi_geo_cat,3,0.0354831166752627
cob_deuda_tot_12m,2,0.0246023891411202
cob_deuda_tot_6m,2,0.0329728387801015
cob_int_12m,2,0.0194890814684393
cob_int_6m,2,0.0208021916126332
cob_int_fin,2,0.0176475792164608
cob_int_fin_12m,2,0.0196117188009086
cob_int_fin_6m,2,0.0024934846142927
cobertura_deuda,2,0.0307127250420961
cobertura_deuda_12m,2,0.0370113983480948
cobertura_deuda_6m,2,0.0291351433403052
cobertura_deuda_tot,2,0.0388578412388067
cobertura_intereses,2,0.0176475792164608
cod_cliente_anom,2,0.0510395711458186
costototalventas,2,0.0039493779657653
departamento_cat,2,0.0361649238788614
dur_canreal,2,0.1281787163265306
ead_cont_nov_refina,2,0.5661492992000804
ebit,2,0.0166750385986812
ebitda,2,0.021016262808446
gasto_fin_ventas,2,0.028443770953586
gasto_fin_ventas_12m,2,0.0527007153517354
gasto_fin_ventas_6m,2,0.0001342724340087
gastos_admin,2,0.0053783917551521
gastos_fin,2,0.0204888879685029
impcontnovarefi,4,0.5751020764133161
impgaraoperaforma,2,0.0158072310350374
impgaraoperarefe,2,0.0158072310350374
impor_novado_refina,2,0.5661492992000804
impuestos,2,0.0442128353627218
limite,2,0.0202036166437355
limite_12m,2,0.0200469953971251
limite_12med,2,0.011780973201834
limite_12var,5,0.0831164854018764
limite_6m,2,0.0156011674103769
limite_6med,2,0.0112928796904814
limite_6var,4,0.0962920391802066
limmedcont_e,2,0.7511992365022864
limmedcont_v,2,0.7511992365022864
limmincont_e,2,0.7511992365022864
limmincont_v,2,0.7511992365022864
limmxcont_v,2,0.7511992365022864
margen_bruto,2,0.0071324898008134
margen_bruto_12m,2,0.0025628872921327
margen_bruto_6m,2,0.0052665127209204
margen_ebit,2,0.0052082974060474
margen_ebit_12m,2,0.0539225907471826
margen_ebit_6m,2,0.0473540140829118
margen_ebitda,2,0.0015306552672547
margen_neto,2,0.0052082974060474
margen_neto_12m,2,0.0655699227733906
margen_neto_6m,2,0.0421285791276525
margen_operativo,2,0.0015306552672547
margen_operativo_12m,2,0.0620216295937997
margen_operativo_6m,2,0.0009831808380686
mxdiasatramescapi,2,0.6345454093543479
mxdiasatramesinte,2,0.9384150679375244
num_contratos,2,0.005417040310766
num_nominas_domici,2,0.0710994523836384
ocupacion_repre,2,0.0159782494987179
pasivo_circ,2,0.0315976599784235
pasivo_lp,2,0.0285471404770613
pasivo_no_circ,2,0.0285471404770613
pasivo_total,2,0.0089111574261998
pat_neto_12max,2,0.0004182325806331
pat_neto_12med,2,0.0012641043868409
pat_neto_12var,2,0.0148687371619804
patrimonio_neto,2,0.0030319094265243
patrimonio_neto_12m,2,0.0422983790733789
patrimonio_neto_6m,2,0.0109360803597287
patrimonio_neto_6max,2,0.0022963307337583
patrimonio_neto_6med,2,0.0015617695906058
patrimonio_neto_6var,2,0.0096572142720934
peorcalificacion,3,0.4077430775314033
peorcalificacion_cat,2,0.3508795170860893
productividad,2,0.0148163823224538
productividad_12m,3,0.063610369845127
productividad_6m,2,0.0175909652286275
productos_fin,2,0.0003597683239816
rat_accirc_actotal,2,0.0050606116193924
rat_acnocirc_actotal,2,0.0211824687291178
rat_actcir_ncirc,2,0.0213940843130065
rat_actcir_ncirc_12m,2,0.0134720233099457
rat_actcir_ncirc_6m,2,0.048165502635202
rat_activos_sactivo,2,0.0212523156175906
rat_disp_dispo_12med,2,0.1303835316036368
rat_disp_dispon,2,0.2024402832641342
rat_disp_dispon_12m,2,0.1412671571283026
rat_disp_dispon_6med,2,0.1505965424540007
rat_disp_disponi_6m,2,0.1878200761256541
rat_dispon_lim,4,0.3338332506721955
rat_dispon_lim_12m,3,0.208996973042692
rat_dispon_lim_12med,4,0.3225776694536496
rat_dispon_lim_6m,4,0.258691202994838
rat_dispon_lim_6med,4,0.3169313073262095
rat_dispu_lim,4,0.3338332506721956
rat_dispu_lim_12m,2,0.1354394115207721
rat_dispu_lim_12med,4,0.3067878790998958
rat_dispu_lim_6m,2,0.1828019132121683
rat_dispu_lim_6med,4,0.2966449594074306
rat_ebit_activos,3,0.0509190872629638
rat_ebit_activos_12m,2,0.0480557557648933
rat_ebit_activos_6m,2,0.0620869793013813
rat_ebit_pasivos,2,0.0379886879893963
rat_ebit_sact,2,0.0176939767148165
rat_ebit_spas,2,0.0130145928482264
rat_ebitda_activos,3,0.046225536729642
