variable,bin,segment,left,right,closed
num_contratos,bin_1,1,0.999,2.0,right
num_contratos,bin_2,1,2.0,3.0,right
num_contratos,bin_2,2,3.0,4.0,right
num_contratos,bin_2,3,4.0,136.0,right
ead_cont_nov_refina,bin_1,1,36007.859000000004,122526.731,right
ead_cont_nov_refina,bin_1,2,122526.731,250222.35,right
ead_cont_nov_refina,bin_1,3,250222.35,350000.1,right
ead_cont_nov_refina,bin_1,4,350000.1,501389.7,right
ead_cont_nov_refina,bin_1,5,501389.7,999839.44,right
ead_cont_nov_refina,bin_1,6,999839.44,1409119.65,right
ead_cont_nov_refina,bin_1,7,1409119.65,3085065.66,right
ead_cont_nov_refina,bin_1,8,3085065.66,26000000.0,right
impgaraoperaforma,bin_1,1,-0.001,215000.0,right
impgaraoperaforma,bin_1,2,215000.0,1370206.0,right
impgaraoperaforma,bin_1,3,1370206.0,2785352.12,right
impgaraoperaforma,bin_1,4,2785352.12,4963279.75,right
impgaraoperaforma,bin_1,5,4963279.75,11836142.0,right
impgaraoperaforma,bin_1,6,11836142.0,444468802.531,right
impgaraoperarefe,bin_1,1,-0.001,68750.0,right
impgaraoperarefe,bin_1,2,68750.0,500000.0,right
impgaraoperarefe,bin_1,3,500000.0,973500.0,right
impgaraoperarefe,bin_1,4,973500.0,1582960.0,right
impgaraoperarefe,bin_1,5,1582960.0,3076837.515,right
impgaraoperarefe,bin_1,6,3076837.515,62536114.696,right
impcontnovarefi,bin_1,1,300000.0,428000.0,right
impcontnovarefi,bin_1,2,1000000.0,1600000.0,right
impcontnovarefi,bin_1,3,1600000.0,2405046.88,right
impcontnovarefi,bin_1,4,2405046.88,3802335.34,right
impcontnovarefi,bin_3,1,428000.0,700000.0,right
impcontnovarefi,bin_3,2,3802335.34,26049553.2,right
impcontnovarefi,bin_4,1,76637.239,300000.0,right
impcontnovarefi,bin_4,2,700000.0,1000000.0,right
impor_novado_refina,bin_1,1,36007.859000000004,122526.748,right
impor_novado_refina,bin_1,2,122526.748,250222.0,right
impor_novado_refina,bin_1,3,250222.0,350000.1,right
impor_novado_refina,bin_1,4,350000.1,501389.7,right
impor_novado_refina,bin_1,5,501389.7,999839.44,right
impor_novado_refina,bin_1,6,999839.44,1334445.28,right
impor_novado_refina,bin_1,7,1334445.28,3085065.66,right
impor_novado_refina,bin_1,8,3085065.66,26000000.0,right
limite,bin_1,1,1000000.0,1691148.8,right
limite,bin_2,1,1599.999,150000.0,right
limite,bin_2,2,150000.0,266760.0,right
limite,bin_2,3,266760.0,420000.0,right
limite,bin_2,4,420000.0,645000.0,right
limite,bin_2,5,645000.0,1000000.0,right
limite,bin_2,6,1691148.8,3000000.0,right
limite,bin_2,7,3000000.0,51734886.918,right
limmxcont_v,bin_1,1,3999.999,100000.0,right
limmxcont_v,bin_1,2,100000.0,250000.0,right
limmxcont_v,bin_1,3,250000.0,439000.0,right
limmxcont_v,bin_1,4,439000.0,634500.0,right
limmxcont_v,bin_1,5,634500.0,1000000.0,right
limmxcont_v,bin_1,6,1000000.0,1533228.211,right
limmxcont_v,bin_1,7,1533228.211,2880073.125,right
limmxcont_v,bin_1,8,2880073.125,24473108.782,right
limmedcont_v,bin_1,1,3999.999,100000.0,right
limmedcont_v,bin_1,2,100000.0,250000.0,right
limmedcont_v,bin_1,3,250000.0,439000.0,right
limmedcont_v,bin_1,4,439000.0,634500.0,right
limmedcont_v,bin_1,5,634500.0,1000000.0,right
limmedcont_v,bin_1,6,1000000.0,1533228.211,right
limmedcont_v,bin_1,7,1533228.211,2880073.125,right
limmedcont_v,bin_1,8,2880073.125,24473108.782,right
