variable,iv
mxdiasatramesinte,0.9384150679375245
rat_ven_sact,0.8068065791332771
saldo_vencido_12med,0.7943264474229748
saldo_vencido_12max,0.7914793652757145
rat_ven_sact_12med,0.7671278450907972
saldo_vencido_6max,0.7648430559652878
saldo_vencido_6med,0.7590611103090447
limmincont_e,0.7511992365022864
limmedcont_v,0.7511992365022864
limmxcont_v,0.7511992365022864
salmxincicap_v,0.7511992365022864
limmedcont_e,0.7511992365022864
salmedincicap_v,0.7511992365022864
rat_inven_sact,0.7511992365022864
limmincont_v,0.7511992365022864
rat_ven_sact_6med,0.739688386796253
rat_sven_stot_12med,0.7311762936764541
rat_sven_stot_6med,0.7131696448092053
rat_prompas_sact,0.7098732377145243
rat_inven_sact_6med,0.6878626236113372
salvencapital,0.6719839997221089
siniincicap_v,0.6578194407069246
siniincicap_v_6med,0.6498824867283911
siniincicap_v_6max,0.6381008262891914
mxdiasatramescapi,0.6345454093543479
rat_inven_sact_12med,0.6208326046162713
salmxinciint_v,0.6017103839557966
salmedinciint_v,0.5976814894113112
impcontnovarefi,0.5751020764133161
siniincicap_v_12max,0.5746384152292088
impor_novado_refina,0.5661492992000804
ead_cont_nov_refina,0.5661492992000804
rat_prpas_sact_6med,0.5502104187026392
rat_tpas_tact,0.5484501022814253
rat_spasivo_sactivo,0.5484501022814253
rat_sal_tpas_limi,0.5457528900657578
rat_prpas_sact_12med,0.529841050172756
rat_ven_spas,0.5216300369971958
rat_tpas_limi_6med,0.5035699669096227
rat_svivo_sact_12med,0.5021879986026909
rat_spas_sact_6med,0.49733981210131106
rat_tpas_sact_6med,0.49733981210131106
saldo_pasivo,0.4960615215538249
rat_prompas_sact_6m,0.4891854102862362
salpashabefinmes,0.4664722362465133
saldo_haber,0.46198351111105646
saliniinciint_v,0.45449045942647687
rat_spas_sact_12med,0.4526724790352138
rat_tpas_sact_12med,0.4526724790352138
spasivohabe_prom,0.4468150831031432
rat_tpas_lim_12med,0.44461480197512004
saldo_intereses,0.43688355462167827
rat_spas_sact_6m,0.4280565234678061
rat_tpas_sact_6m,0.4280565234678061
rat_sdebe_shaber,0.38283889705212604
saldo_pasivo_6max,0.37457385551910494
rat_ven_spas_6med,0.35975356578733964
peorcalificacion_cat,0.35087951708608933
spashaber_prom_6med,0.34635910036608314
rat_prompas_sact_12m,0.344675240212886
saldo_pasivo_6m,0.33758036040868206
rat_dispu_lim,0.3338332506721956
rat_dispon_lim,0.33383325067219555
saldo_haber_6m,0.33318153499546976
saldo_pasivo_6med,0.3286425077756677
rat_dispon_lim_12med,0.32257766945364963
saldo_haber_6med,0.3199315864082231
rat_dispon_lim_6med,0.31693130732620955
siniincicap_v_12med,0.3130910125851197
rat_dispu_lim_12med,0.3067878790998958
rat_dispu_lim_6med,0.29664495940743063
saldo_haber_12med,0.2884501200133108
saldo_pasivo_12med,0.28766729987509554
rat_sact_snet,0.27886880354522153
spasivohabe_prom_6m,0.27420336801821577
rat_svivo_spas,0.2701448519687658
rat_tpas_ventas_6md,0.2661773930103618
rat_tpas_ventas_12md,0.2652494811428269
siniincicap_v_6m,0.2624671511771586
rat_dispon_lim_6m,0.258691202994838
rat_sal_tpas_limi_6m,0.2575058161555946
sdispuesto_12med,0.25065178792461523
saldo_dispuesto,0.24705548436753288
spashaber_prom_12med,0.24678336018648056
saldo_dispuesto_6med,0.24536016747720776
rat_inven_spas_12med,0.2302597105620315
rat_inven_sact_6m,0.22261483968719614
saldo_neto_12m,0.20988307286017052
rat_ven_spas_12med,0.20934317169718775
rat_dispon_lim_12m,0.20899697304269207
rat_sact_snet_6m,0.2065740808533303
saldo_vivo_12med,0.2030807120801148
rat_disp_dispon,0.20244028326413427
rat_disp_disponi_6m,0.1878200761256541
rat_spas_ventas,0.18596290175506872
rat_sal_tpas_ventas,0.18596290175506872
rat_inven_spas_6med,0.18487343494378455
rat_dispu_lim_6m,0.18280191321216832
saldo_neto,0.1810323512446287
saldo_neto_12med,0.17783453479725475
saldo_pasivo_12max,0.1768849451192528
siniincicap_v_12m,0.17623852176003327
rat_spas_snet_6med,0.17597501604259191
rat_inven_sact_12m,0.17446899825415027
saldo_activo_12med,0.17422117531020237
total_deuda,0.17221514234901547
saldo_vivo_6med,0.17199613993380647
rat_sdeb_shab_6med,0.1712399887952326
